Outflow,Twelevation
63950,3146.626969
64000,3146.633269
64050,3146.639566
64100,3146.645861
64150,3146.652153
64200,3146.658443
64250,3146.664731
64300,3146.671016
64350,3146.677298
64400,3146.683578
64450,3146.689856
64500,3146.696131
64550,3146.702404
64600,3146.708674
64650,3146.714942
64700,3146.721208
64750,3146.727471
64800,3146.733732
64850,3146.73999
64900,3146.746246
64950,3146.752499
65000,3146.75875
65050,3146.764999
65100,3146.771245
65150,3146.777489
65200,3146.783731
65250,3146.78997
65300,3146.796206
65350,3146.802441
65400,3146.808672
65450,3146.814902
65500,3146.821129
65550,3146.827354
65600,3146.833576
65650,3146.839796
65700,3146.846014
65750,3146.852229
65800,3146.858442
65850,3146.864653
65900,3146.870861
65950,3146.877067
66000,3146.88327
66050,3146.889471
66100,3146.89567
66150,3146.901867
66200,3146.908061
66250,3146.914252
66300,3146.920442
66350,3146.926629
66400,3146.932814
66450,3146.938996
66500,3146.945176
66550,3146.951354
66600,3146.95753
66650,3146.963703
66700,3146.969874
66750,3146.976042
66800,3146.982208
66850,3146.988372
66900,3146.994534
66950,3147.000693
67000,3147.00685
67050,3147.013005
67100,3147.019157
67150,3147.025307
67200,3147.031455
67250,3147.037601
67300,3147.043744
67350,3147.049885
67400,3147.056024
67450,3147.06216
67500,3147.068294
67550,3147.074426
67600,3147.080556
67650,3147.086683
67700,3147.092808
67750,3147.098931
67800,3147.105052
67850,3147.11117
67900,3147.117286
67950,3147.1234
68000,3147.129511
68050,3147.135621
68100,3147.141728
68150,3147.147833
68200,3147.153935
68250,3147.160035
68300,3147.166134
68350,3147.172229
68400,3147.178323
68450,3147.184415
68500,3147.190504
68550,3147.196591
68600,3147.202675
68650,3147.208758
68700,3147.214838
68750,3147.220916
68800,3147.226992
68850,3147.233066
68900,3147.239138
68950,3147.245207
69000,3147.251274
69050,3147.257339
69100,3147.263401
69150,3147.269462
69200,3147.27552
69250,3147.281576
69300,3147.28763
69350,3147.293682
69400,3147.299732
69450,3147.305779
69500,3147.311824
69550,3147.317867
69600,3147.323908
69650,3147.329947
69700,3147.335983
69750,3147.342018
69800,3147.34805
69850,3147.35408
