,inflow
3-Nov,416986
3-Dec,338359
4-Jan,288516
4-Feb,318267
4-Mar,759000
4-Apr,1129750
4-May,2036507
4-Jun,1780992
4-Jul,1037940
4-Aug,484334
4-Sep,472418
4-Oct,626942
4-Nov,571559
4-Dec,422658
5-Jan,668291
5-Feb,560293
5-Mar,715300
5-Apr,1773341
5-May,4160612
5-Jun,4337526
5-Jul,1932220
5-Aug,855593
5-Sep,493597
5-Oct,738725
5-Nov,507515
5-Dec,380041
6-Jan,398330
6-Feb,329111
6-Mar,542474
6-Apr,1536243
6-May,3232985
6-Jun,2496137
6-Jul,1149297
6-Aug,778747
6-Sep,538203
6-Oct,1566581
6-Nov,578594
6-Dec,402943
7-Jan,337166
7-Feb,456757
7-Mar,1012629
7-Apr,1190847
7-May,2545643
7-Jun,2125698
7-Jul,1053353
7-Aug,817153
7-Sep,480165
7-Oct,571720
7-Nov,413778
7-Dec,412071
8-Jan,370897
8-Feb,478580
8-Mar,742523
8-Apr,1365053
8-May,3583470
8-Jun,4803955
8-Jul,2221264
8-Aug,868376
8-Sep,483913
8-Oct,436526
8-Nov,431277
8-Dec,335894
9-Jan,386381
9-Feb,387078
9-Mar,564852
9-Apr,1225387
9-May,4159993
9-Jun,3468167
9-Jul,1856212
9-Aug,640435
9-Sep,414780
9-Oct,374276
9-Nov,399919
9-Dec,258059
10-Jan,369756
10-Feb,368040
10-Mar,624888
10-Apr,1327970
10-May,2173179
10-Jun,3753020
10-Jul,1252578
10-Aug,953773
10-Sep,470774
10-Oct,555908
10-Nov,401952
10-Dec,469696
11-Jan,310643
11-Feb,317380
11-Mar,640964
11-Apr,1249653
11-May,3081093
11-Jun,6690482
11-Jul,4490983
11-Aug,1290530
11-Sep,707879
11-Oct,634606
11-Nov,527191
11-Dec,361277
12-Jan,382809
12-Feb,385594
12-Mar,733463
12-Apr,1225116
12-May,1355514
12-Jun,1075946
12-Jul,747067
12-Aug,635530
12-Sep,377941
12-Oct,343053
12-Nov,315224
12-Dec,228049
13-Jan,215200
13-Feb,289115
13-Mar,358692
13-Apr,545424
13-May,1964509
13-Jun,1963286
13-Jul,874250
13-Aug,728151
13-Sep,1148333
13-Oct,648183
13-Nov,522870
13-Dec,338647
14-Jan,309201
14-Feb,373725
14-Mar,561508
14-Apr,1266891
14-May,2930207
14-Jun,3929687
14-Jul,1526390
14-Aug,901724
14-Sep,791637
14-Oct,879938
14-Nov,466308
14-Dec,424351
15-Jan,409351
15-Feb,526124
15-Mar,702896
15-Apr,849760
15-May,2116846
15-Jun,4262118
15-Jul,1649736
15-Aug,669216
15-Sep,476480
15-Oct,625930
15-Nov,443078
15-Dec,318052
16-Jan,360472
16-Feb,447752
16-Mar,680511
16-Apr,1106703
16-May,2988292
16-Jun,3952180
16-Jul,1393103
16-Aug,648049
16-Sep,513692
16-Oct,562893
16-Nov,429381
16-Dec,346689
17-Jan,418854
17-Feb,602856
17-Mar,1314310
17-Apr,1916178
17-May,3205952
17-Jun,4478868
17-Jul,1862948
17-Aug,932397
17-Sep,405071
17-Oct,555136
17-Nov,422356
17-Dec,305805
18-Jan,298240
18-Feb,322612
18-Mar,453234
18-Apr,722095
18-May,2132352
18-Jun,1700990
18-Jul,864519
18-Aug,482174
18-Sep,354690
18-Oct,454889
18-Nov,292258
18-Dec,242535
