,inflow
9-Mar,86053
9-Apr,55903
9-May,62786
9-Jun,42065
9-Jul,34621
9-Aug,27889
9-Sep,33749
9-Oct,32068
9-Nov,30373
9-Dec,29725
10-Jan,51037
10-Feb,46756
10-Mar,74565
10-Apr,113225
10-May,67034
10-Jun,36384
10-Jul,33733
10-Aug,97674
10-Sep,49890
10-Oct,52304
10-Nov,23865
10-Dec,165114
11-Jan,45671
11-Feb,44721
11-Mar,66276
11-Apr,106849
11-May,95912
11-Jun,48903
11-Jul,39126
11-Aug,42017
11-Sep,51815
11-Oct,49142
11-Nov,46688
11-Dec,62716
12-Jan,49512
12-Feb,28777
12-Mar,35006
12-Apr,26067
12-May,25379
12-Jun,27138
12-Jul,35142
12-Aug,79523
12-Sep,59455
12-Oct,38281
12-Nov,39585
12-Dec,35728
13-Jan,48789
13-Feb,47704
13-Mar,66587
13-Apr,31460
13-May,31999
13-Jun,29312
13-Jul,72155
13-Aug,79966
13-Sep,95973
13-Oct,25919
13-Nov,37452
13-Dec,36581
14-Jan,31946
14-Feb,40318
14-Mar,39291
14-Apr,29358
14-May,32517
14-Jun,30142
14-Jul,33683
14-Aug,50553
14-Sep,63669
14-Oct,50340
14-Nov,34296
14-Dec,40121
15-Jan,39370
15-Feb,45116
15-Mar,50807
15-Apr,30716
15-May,34876
15-Jun,20606
15-Jul,19456
15-Aug,60944
15-Sep,50263
15-Oct,72551
15-Nov,43551
15-Dec,37397
16-Jan,46330
16-Feb,50595
16-Mar,46140
16-Apr,45939
16-May,42935
16-Jun,33634
16-Jul,31765
16-Aug,54890
16-Sep,40453
16-Oct,37315
16-Nov,43500
16-Dec,54503
17-Jan,62002
17-Feb,85125
17-Mar,83523
17-Apr,71980
17-May,45547
17-Jun,30301
17-Jul,39172
17-Aug,47250
17-Sep,30588
17-Oct,32100
17-Nov,32093
17-Dec,33611
