,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
1413,15,3,7.5,4
1414,15,3,8,4
1415,15,3,8.5,3
1422,15,3.5,3,40
1423,15,3.5,3.5,40
1424,15,3.5,4,40
1425,15,3.5,4.5,40
1426,15,3.5,5,11
1427,15,3.5,5.5,8
1428,15,3.5,6,7
1429,15,3.5,6.5,40
1430,15,3.5,7,5
1431,15,3.5,7.5,4
1432,15,3.5,8,4
1433,15,3.5,8.5,4
1440,15,4,3,40
1441,15,4,3.5,40
1442,15,4,4,40
1443,15,4,4.5,40
1444,15,4,5,40
1445,15,4,5.5,40
1446,15,4,6,40
1447,15,4,6.5,40
1448,15,4,7,40
1449,15,4,7.5,5
1450,15,4,8,4
1451,15,4,8.5,4
1458,15,4.5,3,40
1459,15,4.5,3.5,40
1460,15,4.5,4,40
1461,15,4.5,4.5,40
1462,15,4.5,5,40
1463,15,4.5,5.5,40
1464,15,4.5,6,40
1465,15,4.5,6.5,40
1466,15,4.5,7,7
1467,15,4.5,7.5,40
1468,15,4.5,8,40
1469,15,4.5,8.5,4
1476,15,5,3,40
1477,15,5,3.5,40
1478,15,5,4,40
1479,15,5,4.5,40
1480,15,5,5,40
1481,15,5,5.5,40
1482,15,5,6,40
1483,15,5,6.5,40
1484,15,5,7,9
1485,15,5,7.5,7
1486,15,5,8,40
1487,15,5,8.5,5
1494,15,5.5,3,40
1495,15,5.5,3.5,40
1496,15,5.5,4,40
1497,15,5.5,4.5,40
1498,15,5.5,5,40
1499,15,5.5,5.5,40
1500,15,5.5,6,40
1501,15,5.5,6.5,40
1502,15,5.5,7,12
1503,15,5.5,7.5,40
1504,15,5.5,8,7
1505,15,5.5,8.5,6
1512,15,6,3,40
1513,15,6,3.5,40
1514,15,6,4,40
1515,15,6,4.5,40
1516,15,6,5,40
1517,15,6,5.5,40
1518,15,6,6,40
1519,15,6,6.5,40
1520,15,6,7,40
1521,15,6,7.5,40
1522,15,6,8,40
1523,15,6,8.5,40
1530,15,6.5,3,40
1531,15,6.5,3.5,40
1532,15,6.5,4,40
1533,15,6.5,4.5,40
1534,15,6.5,5,40
1535,15,6.5,5.5,40
1536,15,6.5,6,40
1537,15,6.5,6.5,40
1538,15,6.5,7,40
1539,15,6.5,7.5,40
1540,15,6.5,8,40
1541,15,6.5,8.5,40
1548,15,7,3,40
1549,15,7,3.5,40
1550,15,7,4,40
1551,15,7,4.5,40
1552,15,7,5,40
1553,15,7,5.5,40
1554,15,7,6,40
1555,15,7,6.5,40
1556,15,7,7,40
1557,15,7,7.5,40
1558,15,7,8,40
1559,15,7,8.5,40
1566,15,7.5,3,40
1567,15,7.5,3.5,40
1568,15,7.5,4,40
1569,15,7.5,4.5,40
1570,15,7.5,5,40
1571,15,7.5,5.5,40
1572,15,7.5,6,40
1573,15,7.5,6.5,40
1574,15,7.5,7,40
1575,15,7.5,7.5,40
1576,15,7.5,8,40
1577,15,7.5,8.5,40
1584,15,8,3,40
1585,15,8,3.5,40
1586,15,8,4,40
1587,15,8,4.5,40
1588,15,8,5,40
1589,15,8,5.5,40
1590,15,8,6,40
1591,15,8,6.5,40
1592,15,8,7,40
1593,15,8,7.5,40
1594,15,8,8,40
1595,15,8,8.5,40
1602,15,8.5,3,40
1603,15,8.5,3.5,40
1604,15,8.5,4,40
1605,15,8.5,4.5,40
1606,15,8.5,5,40
1607,15,8.5,5.5,40
1608,15,8.5,6,40
1609,15,8.5,6.5,40
1610,15,8.5,7,40
1611,15,8.5,7.5,40
1612,15,8.5,8,40
1613,15,8.5,8.5,40
1620,15,9,3,40
1621,15,9,3.5,40
1622,15,9,4,40
1623,15,9,4.5,40
1624,15,9,5,40
1625,15,9,5.5,40
1626,15,9,6,40
1627,15,9,6.5,40
1628,15,9,7,40
1629,15,9,7.5,40
1630,15,9,8,40
1631,15,9,8.5,40
1638,15,9.5,3,40
1639,15,9.5,3.5,40
1640,15,9.5,4,40
1641,15,9.5,4.5,40
1642,15,9.5,5,40
1643,15,9.5,5.5,40
1644,15,9.5,6,40
1645,15,9.5,6.5,40
1646,15,9.5,7,40
1647,15,9.5,7.5,40
1648,15,9.5,8,40
1649,15,9.5,8.5,40
1656,15,10,3,40
1657,15,10,3.5,40
1658,15,10,4,40
1659,15,10,4.5,40
1660,15,10,5,40
